"","id","Egg10","MyrmicaYN","Noperaiepittfall","Horigano","HGrass","Origanupatchdiameter","BV","BVR","BR","BF","NB"
"1",1,0,0,0,50,10,50,0,0,1,1,0
"2",2,0,0,0,50,10,50,0,0,1,1,0
"3",3,0,0,0,30,10,3,1,0,0,0,0
"4",4,0,0,0,60,40,60,1,0,0,0,0
"5",5,0,0,0,70,15,190,1,0,0,0,0
"6",6,0,0,0,37.5,15,50,0,0,1,1,0
"7",7,0,0,0,50,10,120,1,0,0,0,1
"8",8,0,0,0,45,15,90,1,0,0,0,0
"9",9,0,0,0,25,15,15,1,0,0,0,1
"10",10,0,0,0,55,5,25,1,0,0,0,0
"11",11,0,0,0,110,20,100,1,0,0,1,0
"12",12,0,0,0,100,25,110,1,0,0,0,0
"13",13,0,0,0,57.5,20,70,1,1,1,1,0
"14",14,0,0,0,57.5,20,70,1,1,1,1,0
"15",15,0,0,0,57.5,20,70,1,1,1,1,0
"16",16,0,0,0,55,15,150,1,1,1,1,0
"17",17,0,0,0,50,12,90,1,0,0,0,0
"18",18,0,0,0,40,5,70,1,0,0,1,0
"19",19,0,0,0,30,20,40,1,0,0,0,1
"20",20,0,0,0,40,15,45,1,0,0,0,1
"21",21,0,0,0,55,18,40,1,0,0,0,0
"22",22,0,0,0,90,20,55,1,0,0,1,0
"23",23,0,0,0,50,5,65,1,1,1,0,0
"24",24,0,0,0,60,10,80,1,0,0,0,0
"25",25,0,0,0,27.5,8,50,1,1,0,0,1
"26",26,0,0,0,30,5,50,1,1,1,1,1
"27",27,0,0,0,40,10,100,1,1,1,1,1
"28",28,0,0,0,45,10,100,0,1,1,1,0
"29",29,0,0,0,45,8,50,1,1,1,1,0
"30",30,0,0,0,30,10,40,1,1,1,1,1
"31",31,0,0,0,35,11,55,1,0,1,1,0
"32",32,0,0,0,50,14,90,1,1,1,1,1
"33",33,0,0,0,60,15,120,1,1,1,1,1
"34",34,0,0,0,60,15,120,0,0,0,0,0
"35",35,0,0,0,40,30,160,1,1,1,1,1
"36",36,1,0,0,30,15,40,1,0,0,0,0
"37",37,1,0,0,100,10,80,1,1,1,0,0
"38",38,1,0,0,100,10,80,1,1,1,0,0
"39",39,1,0,0,60,20,50,1,0,0,0,0
"40",40,1,0,0,50,5,100,1,0,0,0,0
"41",41,1,0,0,50,20,15,1,0,0,0,0
"42",42,1,0,0,47.5,10,130,1,0,1,1,0
